campaign,ad_group,entity_key,intent_class,macroarea,familia,theme,keyword_count,landing_source,activation_state
RP | Search | Bolsos y Viaje,Accesorios de Viaje,family:accesorios-de-viaje,PRODUCTO,Bolsos y Viaje,Accesorios de Viaje,,0,PRESTASHOP_FAMILY,HOLD_NO_HISTORICAL_KEYWORDS
RP | Search | Bolsos y Viaje,Bananos,family:bananos,PRODUCTO,Bolsos y Viaje,Bananos,,0,PRESTASHOP_FAMILY,HOLD_NO_HISTORICAL_KEYWORDS
RP | Search | Bolsos y Viaje,Billeteras y Portadocumentos,family:billeteras-y-portadocumentos,PRODUCTO,Bolsos y Viaje,Billeteras y Portadocumentos,,3,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Bolsos y Viaje,Bolsas,family:bolsas,PRODUCTO,Bolsos y Viaje,Bolsas,,385,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Bolsos y Viaje,Bolsos,family:bolsos,PRODUCTO,Bolsos y Viaje,Bolsos,,26,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Bolsos y Viaje,Bolsos de Viaje,family:bolsos-de-viaje,PRODUCTO,Bolsos y Viaje,Bolsos de Viaje,,6,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Bolsos y Viaje,Coolers,family:coolers,PRODUCTO,Bolsos y Viaje,Coolers,,6,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Bolsos y Viaje,Maletines y Fundas,family:maletines-y-fundas,PRODUCTO,Bolsos y Viaje,Maletines y Fundas,,5,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Bolsos y Viaje,Mochilas,family:mochilas,PRODUCTO,Bolsos y Viaje,Mochilas,,93,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Herramientas y Outdoor,Accesorios de Automóvil,family:accesorios-de-automovil,PRODUCTO,Herramientas y Outdoor,Accesorios de Automóvil,,41,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Herramientas y Outdoor,Artículos Deportivos,family:articulos-deportivos,PRODUCTO,Herramientas y Outdoor,Artículos Deportivos,,8,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Herramientas y Outdoor,Herramientas,family:herramientas,PRODUCTO,Herramientas y Outdoor,Herramientas,,139,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Hogar y Bebidas,Accesorios de Vino,family:accesorios-de-vino,PRODUCTO,Hogar y Bebidas,Accesorios de Vino,,15,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Hogar y Bebidas,Botellas,family:botellas,PRODUCTO,Hogar y Bebidas,Botellas,,136,PRESTASHOP_FAMILY,WAIT_PRESTASHOP_URL
RP | Search | Hogar y Bebidas,Cuidado Personal,family:cuidado-personal,PRODUCTO,Hogar y Bebidas,Cuidado Personal,,0,PRESTASHOP_FAMILY,HOLD_NO_HISTORICAL_KEYWORDS
RP | Search | Hogar y Bebidas,Difusores y Aromatizadores,family:difusores-y-aromatizadores,PRODUCTO,Hogar y Bebidas,Difusores y Aromatizadores,,0,PRESTASHOP_FAMILY,HOLD_NO_HISTORICAL_KEYWORDS
RP | Search | Hogar y Bebidas,Hogar y Cocina,family:hogar-y-cocina,PRODUCTO,Hogar y Bebidas,Hogar y Cocina,,0,PRESTASHOP_FAMILY,HOLD_NO_HISTORICAL_KEYWORDS
