ad_group,keywords,producto,uso_campana,descartar,top_family,families_detected
,6,0,0,6,,0
--,1,0,0,1,,0
AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,13,0,13,0,,0
Agendas Libretas Memo Set,283,283,0,0,Libretas y Cuadernos,3
Asado BBQ,138,138,0,0,Herramientas,2
Asado y BBq #2,1,1,0,0,Herramientas,1
Asado y BBq - delantales,7,7,0,0,Delantales,1
Asado y BBq - para,16,16,0,0,Herramientas,2
Asado y BBq - set,6,6,0,0,Herramientas,1
Bamboo,283,176,107,0,Lápices y Bolígrafos,16
Boligrafos y Lápices,130,130,0,0,Lápices y Bolígrafos,1
Bolsas Ecológicas,54,54,0,0,Bolsas,4
Bolsas TNT,421,421,0,0,Bolsas,8
Descanso y Diversión,7,6,1,0,Juegos,2
Día de la Madre,3,0,3,0,,0
FIn de Año,29,0,29,0,,0
Lanyard Portacredencial,151,151,0,0,Lanyards,3
Lapices,179,179,0,0,Lápices y Bolígrafos,2
Llaveros,142,142,0,0,Llaveros,4
Llaveros Metalicos #2,23,23,0,0,Llaveros,2
Llaveros Metalicos #3,13,13,0,0,Llaveros,1
Llaveros Metalicos - grabados,3,3,0,0,Llaveros,1
Llaveros Metalicos - personalizados,7,7,0,0,Llaveros,1
Llaveros Metalicos - publicitarios,5,5,0,0,Llaveros,1
"Mugs, Botellas y Termos..",424,419,5,0,Mugs y Tazas,4
Parasol Carton,21,21,0,0,Accesorios de Automóvil,1
Pelotas Antiestres,35,35,0,0,Antiestrés,2
Pen Drive,31,31,0,0,Pendrives,1
Power Bank,60,60,0,0,Power Banks,4
Promocionales,224,41,183,0,Libretas y Cuadernos,12
Regalos Publicitarios,427,94,333,0,Lápices y Bolígrafos,18
Tecnologicos,106,98,8,0,Audífonos y Auriculares,10
Verano,113,74,39,0,Accesorios de Automóvil,16
