keyword,match_type,ad_group,keyword_state,serving_state,historical_urls,normalized_urls,url_statuses,url_conflict,intent_class,macroarea,familia,intent_theme,classification_method,classification_confidence,impressions_max,clicks_max,conversions_max,source_rows
,Total: Campaña,,,,,,EMPTY,NO,DESCARTAR,,,,fila vacía,HIGH,0,0,0.0,1
,Total: Coincidencias de página de destino de AI Max,,,,,,EMPTY,NO,DESCARTAR,,,,fila vacía,HIGH,0,0,0.0,1
,Total: Concordancias ampliadas de AI Max,,,,,,EMPTY,NO,DESCARTAR,,,,fila vacía,HIGH,0,0,0.0,1
,Total: Inclusiones de URLs de tu campaña,,,,,,EMPTY,NO,DESCARTAR,,,,fila vacía,HIGH,0,0,0.0,1
,Total: Palabras clave de tu campaña,,,,,,EMPTY,NO,DESCARTAR,,,,fila vacía,HIGH,0,0,0.0,1
,Total: Tus palabras clave,,,,,,EMPTY,NO,DESCARTAR,,,,fila vacía,HIGH,0,0,0.0,1
,Total: Todas las palabras clave excepto las retiradas,--, --, --,,,EMPTY,NO,DESCARTAR,,,,fila vacía,HIGH,0,0,0.0,1
articulos de publicidad,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
articulos promocionales,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
articulos publicitarios,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
merchandising,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
productos promocionales,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
productos publicitarios,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
promocionales,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
regalos corporativos,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
regalos de empresa,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
regalos empresa,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
regalos empresariales,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
regalos promocionales,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
regalos publicitarios,Concordancia amplia,AdGroup ID: 29852379151 Created at 2016-06-13T05:28:10.432-07:00,Habilitado,No apto,,,EMPTY,NO,USO_CAMPAÑA,,,Genérico corporativo,keyword rescatada de grupo técnico,MEDIUM,0,0,0.0,1
"""agenda bolsillo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""Agenda Colorskine Promocional""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda con bolsillo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda corporativa""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda de bolsillo medidas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda de bolsillo para imprimir""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""Agenda ecológica""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda ecologica""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda escolar de bolsillo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda escolar personalizada""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda magnetica de bolsillo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda para profesores""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
