entity_key,familia,resolved_url,resolution_method,activation_state,evidence_note
family:abanicos,Abanicos,https://regalospremium.cl/regalos-publicitarios-de-verano/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:accesorios-de-automovil,Accesorios de Automóvil,https://regalospremium.cl/regalos-publicitarios-para-automovil/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:accesorios-de-viaje,Accesorios de Viaje,https://regalospremium.cl/regalos-publicitarios-para-viajes-y-vacaciones/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:accesorios-de-vino,Accesorios de Vino,https://regalospremium.cl/hogar-gourmet-sommelier/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:antiestres,Antiestrés,https://regalospremium.cl/regalo-publicitario-antistress/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:articulos-deportivos,Artículos Deportivos,https://regalospremium.cl/publicitarios-belleza-y-salud/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:audifonos-y-auriculares,Audífonos y Auriculares,https://regalospremium.cl/audio-publicitario/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:bananos,Bananos,https://regalospremium.cl/regalos-publicitarios-para-viajes-y-vacaciones/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:billeteras-y-portadocumentos,Billeteras y Portadocumentos,https://regalospremium.cl/billeteras-y-porta-documentos/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:bolsas,Bolsas,https://regalospremium.cl/bolsas-publicitarias-con-logotipo/,ADS_HISTORICAL_DOMINANT,READY_URL,Ecosystem resolution validated 2026-09-17
family:bolsos,Bolsos,https://regalospremium.cl/bolsos-y-mochilas-publicitarios/,PRESTASHOP_ACTIVE_BROADER_CATEGORY_SITEMAP,READY_URL,Active PrestaShop category; root present in sitemap
family:bolsos-de-viaje,Bolsos de Viaje,,HOLD_CATEGORY_ROOT_NOT_IN_SITEMAP,HOLD_NO_SAFE_LANDING,Category exists in PrestaShop but category root is absent from sitemap
family:botellas,Botellas,https://regalospremium.cl/botellas-metalicas-publicitarias/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:cables-y-adaptadores,Cables y Adaptadores,https://regalospremium.cl/accesorios-usb-promocional/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:cargadores,Cargadores,https://regalospremium.cl/regalos-promocionales-tecnologicos/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:carpetas-y-portafolios,Carpetas y Portafolios,https://regalospremium.cl/carpetas-y-portafolios-publicitarios/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:chaquetas-y-polar,Chaquetas y Polar,,HOLD_SPLIT_CATEGORIES_NO_HISTORICAL_KEYWORDS,HOLD_NO_SAFE_LANDING,Products split across winter categories; exact Polar/Chaquetas category inactive; zero historical keywords
family:coolers,Coolers,https://regalospremium.cl/coolers-publicitarios/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:cuidado-personal,Cuidado Personal,https://regalospremium.cl/publicitarios-belleza-y-salud/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:delantales,Delantales,https://regalospremium.cl/cotizar-productos-para-sublimacion/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:difusores-y-aromatizadores,Difusores y Aromatizadores,https://regalospremium.cl/audio-publicitario/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:gorras-y-sombreros,Gorras y Sombreros,https://regalospremium.cl/comprar-gorros-y-jockeys-publicitarios/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:herramientas,Herramientas,https://regalospremium.cl/herramientas-y-asado/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:hogar-y-cocina,Hogar y Cocina,https://regalospremium.cl/cotizar-productos-para-sublimacion/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
family:imanes,Imanes,https://regalospremium.cl/cotizar-productos-para-sublimacion/,PRESTASHOP_DOMINANT_CATEGORY,READY_URL,Ecosystem resolution validated 2026-09-17
