product_id,reference,nombre,macroarea,familia,categoria_actual,url,materiales,uso_recomendado,personalizacion,pedido_minimo,sostenible,seo_landing_candidate,classification_confidence,classification_status
20,B6,Canasto SPA grande,REVISION,,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/canasto-spa-grande.html,,,Serigrafía o Tampografía,,false,REVIEW,MEDIUM,REVIEW_UNCLASSIFIED
21,B7,Canasto SPA Redondo,REVISION,,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/canasto-spa-redondo.html,,,Serigrafía o Tampografía,,false,REVIEW,MEDIUM,REVIEW_UNCLASSIFIED
22,B92,Parlante Grande Inducción Madera Nogal,Tecnología,Parlantes,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/parlante-grande-induccion-madera-nogal.html,Madera de Nogal,,"Serigrafía, Grabado Láser",,true,YES,MEDIUM,CLASSIFIED
23,B93,Mini Basurero Verde de Sobremesa,REVISION,,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/mini-basurero-verde-de-sobremesa.html,Polipropileno (PP),,Serigrafía,,false,REVIEW,MEDIUM,REVIEW_UNCLASSIFIED
26,N0,Set Ecológico de Oficina,Sets de Regalo,Sets de Regalo,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/set-ecologico-de-oficina.html,,,Serigrafía - Tampografía,,true,YES,MEDIUM,CLASSIFIED
27,N6,Libreta Ecológica,Oficina y Escritura,Libretas y Cuadernos,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/comprar-libreta-ecologica.html,,,Serigrafía o Tampografía,,true,YES,MEDIUM,CLASSIFIED
28,N8,Taco Ecológico,REVISION,,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/taco-ecologico.html,,,Serigrafía o Tampografía,,true,REVIEW,MEDIUM,REVIEW_UNCLASSIFIED
29,N12,Memo Set Ecológico con Bolígrafo,Oficina y Escritura,Lápices y Bolígrafos,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/comprar-memo-set-ecologico-con-boligrafo.html,,,Serigrafía - Tampografía - Grabado Láser,,true,YES,MEDIUM,CLASSIFIED
30,N18,Cuaderno Ecológico Tapa Dura,Oficina y Escritura,Libretas y Cuadernos,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/cuaderno-ecologico-tapa-dura-con-lapiz.html,,,Serigrafía o Tampografía,,true,YES,MEDIUM,CLASSIFIED
31,N21,Set de Banderitas Adhesivas,Sets de Regalo,Sets de Regalo,REGALOS ECOLÓGICOS PREMIUM > ECO FRIENDLY,https://regalospremium.cl/productos-eco-friendly-publicitarios/set-de-banderitas-adhesivas.html,,,Serigrafía o Tampografía,,true,YES,MEDIUM,CLASSIFIED
